Platform,Total Time Spent,Number of Sessions,Engagement,Scroll Rate,Self Control,Addiction Level
Twitter,181.19,79.53,7.04,6.45,5.21,5.63
Snapchat,279.02,76.51,5.8,4.88,4.31,6.84
YouTube,84.03,84.51,10.0,4.89,6.38,3.39
Snapchat,235.24,72.61,7.78,7.39,3.77,7.76
Snapchat,468.56,77.37,7.15,8.35,4.89,10.0
Facebook,109.0,96.52,3.45,5.45,7.37,2.87
YouTube,68.77,71.26,3.42,5.32,5.68,2.86
YouTube,150.95,47.87,6.59,7.0,4.88,6.17
YouTube,173.96,114.99,6.29,3.29,3.8,4.51
Snapchat,351.59,107.63,4.77,6.45,3.73,8.12
Twitter,147.09,54.15,6.28,7.1,3.3,6.3
YouTube,117.41,93.79,9.18,7.36,3.92,5.27
Snapchat,67.18,69.94,7.39,2.13,6.51,2.24
Facebook,31.31,85.27,3.72,4.48,4.56,2.44
Twitter,49.44,85.88,5.78,4.24,2.3,3.54
Facebook,49.15,75.31,4.39,6.2,8.54,1.88
Twitter,135.35,64.32,5.22,6.96,5.64,4.85
Snapchat,38.18,66.19,5.17,8.99,2.19,4.18
Instagram,159.76,61.68,5.04,5.01,4.12,5.17
Twitter,537.45,63.36,3.49,5.0,5.22,10.0
Facebook,358.51,78.66,5.74,8.3,8.41,8.8
Snapchat,134.31,65.68,4.88,6.59,2.78,5.5
Twitter,768.51,93.64,1.0,8.54,6.95,10.0
Instagram,174.43,109.74,10.0,6.58,7.8,4.77
Instagram,193.57,68.4,8.18,3.69,3.74,5.46
YouTube,148.72,84.79,5.25,3.33,4.44,4.09
YouTube,162.47,89.99,6.04,2.9,2.93,4.62
Facebook,105.89,89.44,3.66,7.32,4.59,4.08
Twitter,135.87,81.52,9.39,8.38,4.93,5.85
Twitter,445.99,94.85,9.79,9.7,6.32,10.0
YouTube,384.84,89.64,6.31,7.69,7.18,8.96
Twitter,16.72,55.25,8.05,8.33,3.5,3.71
Twitter,42.99,97.38,6.35,4.84,1.07,3.94
Instagram,85.07,97.75,3.33,3.69,4.96,2.93
YouTube,319.0,64.73,5.18,7.7,5.59,9.11
Snapchat,390.62,80.76,6.26,6.84,5.5,9.42
YouTube,278.27,93.67,5.09,6.21,4.35,6.96
Snapchat,59.27,75.81,5.56,6.77,5.25,3.3
Instagram,107.71,101.46,5.82,6.65,8.03,3.15
Facebook,238.16,127.28,5.84,8.57,5.76,6.26
Twitter,137.53,64.28,6.1,8.59,4.25,5.99
Instagram,122.81,52.38,3.88,7.09,4.0,5.24
Twitter,124.27,86.08,4.57,7.69,4.66,4.66
Facebook,365.61,94.43,3.43,7.03,8.27,7.38
Facebook,255.56,75.38,7.96,5.08,4.63,6.69
Instagram,129.81,109.07,1.79,7.51,4.96,3.97
Facebook,212.42,53.23,8.31,3.21,4.04,5.73
Snapchat,51.71,93.86,8.77,8.11,7.2,3.23
Facebook,107.88,67.88,5.4,3.61,8.92,2.37
Twitter,342.09,114.39,1.0,6.57,5.9,6.75
Twitter,35.66,119.85,5.28,4.31,5.17,2.39
Twitter,257.78,64.67,5.87,7.11,5.07,7.72
Twitter,16.48,69.01,3.98,5.93,1.0,3.48
Snapchat,495.62,97.19,4.97,2.81,6.49,7.72
YouTube,105.75,72.26,9.06,6.84,5.27,4.72
Instagram,223.69,79.09,7.33,4.84,5.86,5.56
Twitter,181.85,80.51,4.15,7.76,3.58,6.14
Facebook,186.83,41.61,2.8,6.0,4.23,6.63
Twitter,209.65,79.72,5.35,6.79,4.18,6.35
Facebook,29.02,66.21,5.57,4.08,7.04,1.81
Facebook,189.71,70.14,6.99,4.82,4.24,5.6
Twitter,144.02,108.87,4.93,5.08,9.17,2.86
Snapchat,106.24,54.87,7.02,7.71,5.86,4.88
Facebook,85.03,96.26,9.87,9.35,2.45,5.79
Facebook,193.25,74.42,7.63,4.39,4.74,5.32
Twitter,69.58,74.4,5.9,8.15,3.7,4.31
Facebook,337.96,95.81,5.63,1.66,1.0,6.85
Facebook,235.43,86.8,5.29,3.61,8.2,4.26
Twitter,201.95,91.41,8.36,4.08,6.41,4.68
Twitter,328.44,99.36,4.75,3.29,6.07,5.87
Instagram,24.07,73.37,6.09,2.83,5.33,2.08
Snapchat,50.04,67.76,6.1,6.83,2.24,4.17
Snapchat,242.83,58.3,5.0,5.57,4.03,7.1
Facebook,89.43,63.49,3.26,6.76,6.68,3.28
Snapchat,99.53,138.98,6.65,7.38,2.9,4.64
Facebook,43.04,104.89,5.88,6.53,1.0,4.17
Instagram,69.76,52.98,7.0,7.32,4.55,4.32
Twitter,343.05,53.55,4.93,5.86,4.72,9.35
Twitter,238.81,89.64,8.44,3.63,5.27,5.38
Twitter,191.69,90.95,4.25,8.12,6.46,5.38
Snapchat,102.85,90.98,9.42,4.82,6.28,3.6
Instagram,182.92,74.9,2.5,4.13,5.52,4.39
Snapchat,363.42,77.49,6.87,5.64,7.39,7.84
Snapchat,91.37,86.56,6.95,4.17,1.96,4.35
Instagram,162.19,81.72,4.41,5.17,6.01,4.3
Instagram,515.73,35.61,6.85,6.69,6.25,10.0
Instagram,275.75,75.4,8.56,6.7,2.52,8.6
Instagram,104.09,62.97,1.57,4.2,1.99,4.27
Twitter,260.52,83.5,7.01,5.02,3.51,6.82
YouTube,35.03,139.71,1.01,8.15,3.68,2.62
YouTube,157.24,87.35,4.07,6.99,6.51,4.45
Instagram,260.32,73.73,9.26,10.0,3.77,9.85
YouTube,220.73,98.44,4.84,8.36,3.29,6.9
YouTube,258.57,89.65,3.65,8.29,3.78,7.45
Instagram,299.17,88.4,5.6,3.22,7.24,5.27
YouTube,233.25,92.14,10.0,7.53,5.03,7.24
Snapchat,228.51,121.13,2.34,5.89,4.64,5.28
Facebook,194.94,57.38,3.9,4.9,4.78,5.56
Facebook,62.43,89.47,8.99,6.34,7.58,2.93
Instagram,342.95,61.47,9.72,7.89,3.5,10.0
Twitter,161.61,91.11,5.79,7.0,7.63,4.38
Instagram,271.04,61.63,3.52,4.24,5.42,6.25
Twitter,319.51,71.65,10.0,7.48,4.68,9.63
Facebook,108.53,74.1,9.19,4.72,10.0,2.65
Instagram,116.63,99.52,7.36,6.43,2.89,5.0
Snapchat,129.85,98.37,4.38,5.39,4.29,4.19
YouTube,387.03,55.09,5.9,5.56,2.54,10.0
Twitter,75.8,81.1,5.68,7.53,6.9,3.25
YouTube,431.95,65.81,6.66,3.92,8.38,7.9
YouTube,193.35,54.83,8.9,9.89,8.34,7.68
Instagram,203.57,75.66,7.76,2.36,7.45,3.8
YouTube,309.92,73.83,3.85,4.8,4.6,7.1
Snapchat,177.52,128.53,8.75,6.74,4.27,5.61
YouTube,345.53,88.66,6.63,7.17,1.66,9.7
Instagram,108.41,52.45,7.37,5.8,9.07,3.42
Snapchat,422.85,68.7,8.93,5.89,5.94,10.0
Facebook,115.51,100.43,3.78,6.82,4.02,4.25
YouTube,433.52,121.77,5.93,5.54,7.66,7.67
Instagram,118.09,48.28,4.94,8.79,3.05,6.28
Facebook,132.87,42.4,2.86,7.68,5.81,5.43
Facebook,67.74,117.42,6.69,7.75,4.65,3.76
Twitter,85.9,87.79,10.0,4.07,6.28,3.19
Snapchat,162.23,62.63,2.32,5.84,4.87,4.94
YouTube,198.77,90.69,5.94,5.4,2.1,6.18
Instagram,328.77,27.29,7.28,3.99,5.15,10.0
Twitter,140.54,80.07,6.25,6.72,7.1,4.3
Snapchat,221.07,86.56,5.77,4.92,4.94,5.55
Twitter,189.09,98.49,3.4,7.31,6.55,4.83
Snapchat,238.67,59.72,6.47,3.86,2.91,6.56
Snapchat,97.15,81.71,4.49,9.44,4.95,4.46
YouTube,107.08,61.49,1.62,4.21,3.75,3.81
Snapchat,97.18,85.11,8.39,6.44,6.49,3.84
Twitter,372.12,62.09,7.92,7.58,5.06,10.0
Snapchat,425.54,71.84,6.1,4.86,6.38,8.81
YouTube,103.31,60.08,6.46,7.7,7.18,4.2
YouTube,105.06,93.02,8.15,3.54,6.38,3.11
Twitter,262.46,97.17,6.45,8.9,5.55,7.51
Facebook,456.91,75.31,7.81,6.03,3.0,10.0
Facebook,522.64,80.76,5.41,4.81,4.99,10.0
Snapchat,99.41,51.03,8.62,5.4,3.93,4.8
Instagram,121.46,74.01,6.64,7.62,4.31,5.18
Snapchat,206.36,79.0,6.39,4.83,4.25,5.67
Twitter,213.68,132.42,3.46,4.5,3.04,5.26
Twitter,144.85,57.76,6.57,5.56,1.09,6.25
Twitter,83.39,109.28,4.34,3.65,3.66,3.33
Twitter,162.43,99.94,4.72,9.64,5.39,5.49
Twitter,522.27,85.61,4.37,4.87,2.3,10.0
YouTube,108.38,115.17,3.87,7.66,5.03,3.89
Facebook,197.26,87.44,10.0,6.42,8.8,5.06
Twitter,752.03,87.78,8.66,4.03,7.05,10.0
Instagram,107.1,78.94,9.84,5.99,8.29,3.58
Instagram,271.11,104.47,3.55,7.57,5.78,6.48
Instagram,536.82,101.93,6.14,5.62,7.34,9.82
Instagram,255.14,67.49,3.41,8.39,3.55,8.23
YouTube,354.68,53.62,4.61,8.04,3.71,10.0
Instagram,296.61,75.94,4.16,7.84,1.0,9.38
Twitter,241.11,64.0,8.48,5.08,7.37,5.98
Snapchat,416.36,78.73,5.21,3.84,8.08,7.17
Instagram,265.23,104.75,8.14,4.77,3.89,6.47
YouTube,146.01,70.85,7.21,6.39,4.49,5.35
YouTube,186.33,79.14,10.0,7.09,3.49,6.9
Instagram,218.94,81.16,3.04,1.66,5.77,4.01
Snapchat,120.87,96.97,8.52,5.98,7.25,3.8
Instagram,192.57,35.06,8.29,6.32,1.51,8.99
YouTube,172.73,67.87,4.05,5.44,5.82,4.81
Facebook,264.66,84.23,8.01,8.58,4.45,8.39
Twitter,630.97,104.0,6.67,6.84,5.23,10.0
YouTube,200.98,70.16,5.55,8.62,5.92,6.66
Instagram,464.52,42.47,4.35,5.57,4.62,10.0
